name,domain,search_url,optout_url,country,method,requirements,notes,search_pattern,result_selector,detail_selector
4C Insights,mediaocean.com,https://www.mediaocean.com/search?q={query},https://www.mediaocean.com/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
4EYES AI Inc,4-eyes.ai,https://www.4-eyes.ai/search?q={query},https://4-eyes.ai/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
4Legalleads,4legalleads.com,https://www.4legalleads.com/search?q={query},https://www.4legalleads.com/lawyer-faq/#lp-pom-block-926,US,form,"name, email",Data broker registered in US state registries,,,
5X5 US LLC,join5x5.com,https://www.join5x5.com/search?q={query},https://www.join5x5.com/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
6SENSE INSIGHTS Inc,6sense.com,https://www.6sense.com/search?q={query},https://6sense.com/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
01Advertising Inc.,01advertising.com,https://www.01advertising.com/search?q={query},https://www.01advertising.com/legal/privacy/,US,form,"name, email",Data broker registered in US state registries,,,
33 MILE RADIUS LLC,remodeling.com,https://www.remodeling.com/search?q={query},https://www.keywordconnects.com/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
33ACROSS Inc,33across.com,https://www.33across.com/search?q={query},https://www.33across.com/privacy-policy/ccpa-notice/,US,form,"name, email",Data broker registered in US state registries,,,
360 Media Direct,360mediadirect.com,https://www.360mediadirect.com/search?q={query},https://www.360mediadirect.com/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
"700 Credit, LLC",700credit.com,https://www.700credit.com/search?q={query},https://www.700credit.com/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
A DIRECT MARKETING Inc,bookyourdata.com,https://www.bookyourdata.com/search?q={query},https://www.bookyourdata.com/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
"Above Data, Inc.",abovedata.io,https://www.abovedata.io/search?q={query},https://www.abovedata.io/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
Accenture LLP,accenture.com,https://www.accenture.com/search?q={query},https://www.accenture.com/us-en/support/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
Accudata Integrated Marketing,homedata.com,https://www.homedata.com/search?q={query},https://deepsync.com/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
Accuity Asset Verification Services Inc.,sagestreamllc.com,https://www.sagestreamllc.com/search?q={query},https://www.lexisnexis.com/en-us/terms/privacy-policy.page,US,form,"name, address, phone",Data broker registered in US state registries,,,
Accurate Append Inc,accurateappend.com,https://www.accurateappend.com/search?q={query},https://accurateappend.com/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
ACE Agents Inc.,degree.me,https://www.degree.me/search?q={query},https://degree.me/optout,US,form,"name, email",Data broker registered in US state registries,,,
ACH ADDRESS CLEARING HOUSE LLC,achcoop.com,https://www.achcoop.com/search?q={query},https://www.achcoop.com/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
"Acquire Media U.S., LLC",newsedge.com,https://www.newsedge.com/search?q={query},https://www.moodys.com/privatepolicy.aspx?lang=en&cy=global,US,form,"name, email",Data broker registered in US state registries,,,
ACRONYMIX LLC,acronymix.com,https://www.acronymix.com/search?q={query},https://acronymix.com/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
ACTIVIMPACT LLC,activimpact.ai,https://www.activimpact.ai/search?q={query},https://www.activimpact.ai/privacy-policy?hsLang=en,US,form,"name, email",Data broker registered in US state registries,,,
"Acuant, Inc.",idology.com,https://www.idology.com/search?q={query},https://www.idology.com/en/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
ACXIOM LLC,acxiom.com,https://www.acxiom.com/search?q={query},https://www.acxiom.com/privacy/,US,form,"name, email",Data broker registered in US state registries,,,
Ad Direct Inc,addirectinc.com,https://www.addirectinc.com/search?q={query},https://www.addirectinc.com/privacy.html,US,form,"name, email",Data broker registered in US state registries,,,
Adadapted Inc.,adadapted.com,https://www.adadapted.com/search?q={query},https://www.adadapted.com/legal/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
"Adept Id, Inc.",adept-id.com,https://www.adept-id.com/search?q={query},https://www.adept-id.com/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
"Adrea Rubin Marketing, Inc.",calibrant.com,https://www.calibrant.com/search?q={query},https://calibrant.com/optout,US,form,"name, email",Data broker registered in US state registries,,,
Adsquare GmbH,adsquare.com,https://www.adsquare.com/search?q={query},https://adsquare.com/privacy/,US,form,"name, email",Data broker registered in US state registries,,,
Adstra LLC,belardiwong.com,https://www.belardiwong.com/search?q={query},https://www.belardiwong.com/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
"Advisortarget, LLC",finsum.com,https://www.finsum.com/search?q={query},https://www.finsum.com/index.php/what-we-do/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
AFFINITY ANSWERS CORPORATION,affinityanswers.com,https://www.affinityanswers.com/search?q={query},https://www.affinityanswers.com/privacy-policy-update/,US,form,"name, email",Data broker registered in US state registries,,,
Affinity Solutions,affinity.solutions,https://www.affinity.solutions/search?q={query},https://www.affinity.solutions/data-privacy-notice/,US,form,"name, email",Data broker registered in US state registries,,,
AGR Marketing Solutions LLC,agrmarketingsolutions.com,https://www.agrmarketingsolutions.com/search?q={query},https://www.agrmarketingsolutions.com/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
AIDENTIFIED Inc,aidentified.com,https://www.aidentified.com/search?q={query},https://www.aidentified.com/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
"Alikeaudience, Inc.",alikeaudience.com,https://www.alikeaudience.com/search?q={query},https://www.alikeaudience.com/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
"All Global Resources, LLC",executiveenergy.com,https://www.executiveenergy.com/search?q={query},https://www.agrgroupinc.com/,US,form,"name, email",Data broker registered in US state registries,,,
ALL GOOD MEDIA,attribits.com,https://www.attribits.com/search?q={query},https://www.attribits.com/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
All The Way Up LTD,swordfishapp.com,https://www.swordfishapp.com/search?q={query},https://www.swordfish.ai/policy-ccpa,US,form,"name, email",Data broker registered in US state registries,,,
All Web Leads Inc,awl.com,https://www.awl.com/search?q={query},https://awl.com/privacy/,US,form,"name, email",Data broker registered in US state registries,,,
Alliant Cooperative Data Solutions,alliantinsight.com,https://www.alliantinsight.com/search?q={query},https://alliantinsight.com/alliant-privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
Alphonso Inc.,lgads.tv,https://www.lgads.tv/search?q={query},https://lgads.tv/site-privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
ALTAIR DATA RESOURCES Inc,altairdata.com,https://www.altairdata.com/search?q={query},https://www.altairdata.com/altair-privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
ALTRATA Inc,wealthx.com,https://www.wealthx.com/search?q={query},https://wealthx.com/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
"American City Business Journals, Inc.",acbj.com,https://www.acbj.com/search?q={query},https://www.acbj.com/privacy,US,form,"name, email",Data broker registered in US state registries,,,
AMERICAN SPIRIT DATA SOLUTIONS LLC,aspire-north.com,https://www.aspire-north.com/search?q={query},https://www.americanspiritcorp.com/data-services-and-website-privacy-policy.html,US,form,"name, email",Data broker registered in US state registries,,,
Amplemarket,amplemarket.com,https://www.amplemarket.com/search?q={query},https://www.amplemarket.com/legal/privacy,US,form,"name, email",Data broker registered in US state registries,,,
